date,activity,gold,iron,oil,silver,copper,aus,chn,clp,per,copper_L1,copper_L2,copper_L3,copper_L4,copper_L5,activity_L1
01-01-90,16.431185,415.05,14.05,22.7,5.205,2365.556991,1.280245807,4.7339,296.7568182,0.01282726,,,,,,
01-02-90,12.994688,407.7,14.05,21.54,5.12,2358.9434,1.317002502,4.7339,292.463,0.01328649,2365.556991,,,,,16.431185
01-03-90,12.440822,368.5,14.05,20.28,4.965,2625.702723,1.323451562,4.7339,296.6631818,0.01819444,2358.9434,2365.556991,,,,12.994688
01-04-90,2.6025595,367.75,14.05,18.55,4.935,2685.226891,1.309414692,4.7339,296.4115,0.02761318,2625.702723,2358.9434,2365.556991,,,12.440822
01-05-90,-6.3031508,363.05,14.05,17.4,5.07,2740.342391,1.313887794,4.7339,296.9709524,0.03884782,2685.226891,2625.702723,2358.9434,2365.556991,,2.6025595
01-06-90,-15.133593,352.2,14.05,17.07,4.84,2583.814909,1.283697047,4.7339,296.7889474,0.06983381,2740.342391,2685.226891,2625.702723,2358.9434,2365.556991,-6.3031508
01-07-90,-25.117155,372.3,14.05,20.63,4.855,2769.003023,1.264542236,4.7339,296.6654545,0.11492883,2583.814909,2740.342391,2685.226891,2625.702723,2358.9434,-15.133593
01-08-90,-16.103712,387.75,14.05,27.3,4.83,2956.395555,1.236552492,4.7339,303.4409091,0.319750121,2769.003023,2583.814909,2740.342391,2685.226891,2625.702723,-25.117155
01-09-90,-18.702771,408.4,14.05,39.58,4.795,3040.170845,1.211974306,4.7342,308.3494118,0.434333504,2956.395555,2769.003023,2583.814909,2740.342391,2685.226891,-16.103712
01-10-90,-14.689016,379.5,14.05,35.25,4.2225,2742.546977,1.249063203,4.7339,312.4895455,0.446399386,3040.170845,2956.395555,2769.003023,2583.814909,2740.342391,-18.702771
01-11-90,-9.7279434,384.85,14.05,29.1,4.0875,2583.814909,1.293828438,4.9714,326.8647619,0.43948111,2742.546977,3040.170845,2956.395555,2769.003023,2583.814909,-14.689016
01-12-90,-0.45385525,386.2,14.05,28.44,4.1925,2484.607009,1.298364061,5.2352,334.9778947,0.528640511,2583.814909,2742.546977,3040.170845,2956.395555,2769.003023,-9.7279434
01-01-91,0.17090946,366,15.03,21.84,3.825,2447.1282,1.283202874,5.2352,337.2304545,0.53952381,2484.607009,2583.814909,2742.546977,3040.170845,2956.395555,-0.45385525
01-02-91,9.9244265,362.7,15.03,19.12,3.6775,2447.1282,1.276324186,5.2352,337.526,0.552,2447.1282,2484.607009,2583.814909,2742.546977,3040.170845,0.17090946
01-03-91,17.862127,355.65,15.03,19.64,3.835,2409.649391,1.296848658,5.2352,340.238,0.565263158,2447.1282,2447.1282,2484.607009,2583.814909,2742.546977,9.9244265
01-04-91,10.407447,357.75,15.03,21.02,3.9325,2471.379323,1.282873637,5.2767,340.2840909,0.635454545,2409.649391,2447.1282,2447.1282,2484.607009,2583.814909,17.862127
01-05-91,14.240324,360.4,15.03,21.08,4.1325,2340.424673,1.291489087,5.3257,339.9505,0.798181818,2471.379323,2409.649391,2447.1282,2447.1282,2484.607009,10.407447
01-06-91,16.422032,368.35,15.03,20.58,4.4525,2218.068027,1.316135825,5.3667,344.89,0.852777778,2340.424673,2471.379323,2409.649391,2447.1282,2447.1282,14.240324
01-07-91,7.9464742,362.85,15.03,21.68,4.0675,2231.255346,1.296008294,5.3693,348.7182609,0.828181818,2218.068027,2340.424673,2471.379323,2409.649391,2447.1282,16.422032
01-08-91,2.7828752,347.4,15.03,22.3,3.815,2236.186777,1.278281989,5.3725,350.89,0.801904762,2231.255346,2218.068027,2340.424673,2471.379323,2409.649391,7.9464742
01-09-91,5.8890604,354.9,15.03,22.23,4.135,2318.583003,1.259921885,5.3869,355.6061111,0.803809524,2236.186777,2231.255346,2218.068027,2340.424673,2471.379323,2.7828752
01-10-91,10.229102,357.45,15.03,23.41,4.09,2360.645575,1.261829653,5.3917,359.0604348,0.924090909,2318.583003,2236.186777,2231.255346,2218.068027,2340.424673,5.8890604
01-11-91,10.824661,366.3,15.03,21.5,4.065,2375.660378,1.271294177,5.3994,364.2565,1.0265,2360.645575,2318.583003,2236.186777,2231.255346,2218.068027,10.229102
01-12-91,5.3821422,353.15,15.03,19.1,3.86,2205.918497,1.296680498,5.4232,371.9275,1.006666667,2375.660378,2360.645575,2318.583003,2236.186777,2231.255346,10.824661
01-01-92,2.5053192,354.1,14.31,18.91,4.13,2150.579629,1.337613697,5.4618,369.7509091,0.994545455,2205.918497,2375.660378,2360.645575,2318.583003,2236.186777,5.3821422
01-02-92,-10.851629,353.1,14.31,18.65,4.1175,2208.892259,1.330140995,5.4776,347.8635,0.9775,2150.579629,2205.918497,2375.660378,2360.645575,2318.583003,2.5053192
01-03-92,-18.181247,341.7,14.31,19.48,4.12,2231.78551,1.31821777,5.4871,348.3440909,0.961818182,2208.892259,2150.579629,2205.918497,2375.660378,2360.645575,-10.851629
01-04-92,-21.999355,336.35,14.31,20.86,3.9825,2214.166816,1.311647429,5.5098,346.3005,1.028,2231.78551,2208.892259,2150.579629,2205.918497,2375.660378,-18.181247
01-05-92,-14.334223,337.5,14.31,22.1,4.0575,2219.315056,1.322926313,5.5182,346.5631579,1.1405,2214.166816,2231.78551,2208.892259,2150.579629,2205.918497,-21.999355
01-06-92,-22.340954,343.4,14.31,22.07,4.025,2296.441939,1.323451562,5.4893,354.997,1.185238095,2219.315056,2214.166816,2231.78551,2208.892259,2150.579629,-14.334223
01-07-92,-31.770055,357.85,14.31,21.82,3.9525,2527.285022,1.342101731,5.4564,361.2478261,1.238095238,2296.441939,2219.315056,2214.166816,2231.78551,2208.892259,-22.340954
01-08-92,-31.724541,340,14.31,21.48,3.72,2513.469985,1.379690949,5.4417,368.8647619,1.2895,2527.285022,2296.441939,2219.315056,2214.166816,2231.78551,-31.770055
01-09-92,-33.093111,349,14.31,21.73,3.765,2419.614182,1.384083045,5.5048,376.036,1.376363636,2513.469985,2527.285022,2296.441939,2219.315056,2214.166816,-31.724541
01-10-92,-32.501326,339.25,14.31,20.64,3.765,2262.456962,1.398992725,5.5486,373.1014286,1.555714286,2419.614182,2513.469985,2527.285022,2296.441939,2219.315056,-33.093111
01-11-92,-19.736953,334.2,14.31,19.91,3.7325,2161.789094,1.449695564,5.6134,377.6319048,1.6215,2262.456962,2419.614182,2513.469985,2527.285022,2296.441939,-32.501326
01-12-92,-7.934251,332.9,14.31,19.49,3.67,2211.950287,1.449905756,5.8106,380.2175,1.636285947,2161.789094,2262.456962,2419.614182,2513.469985,2527.285022,-19.736953
01-01-93,-12.558448,330.45,12.58,20.26,3.7075,2264.213971,1.485884101,5.7796,383.9255,1.6975,2211.950287,2161.789094,2262.456962,2419.614182,2513.469985,-7.934251
01-02-93,-10.397015,327.6,12.58,20.56,3.5675,2212.181393,1.464343242,5.7874,387.9105,1.758,2264.213971,2211.950287,2161.789094,2262.456962,2419.614182,-12.558448
01-03-93,-2.2805808,337.8,12.58,20.44,3.89,2152.380201,1.412828483,5.7455,397.2178261,1.839130435,2212.181393,2264.213971,2211.950287,2161.789094,2262.456962,-10.397015
01-04-93,1.7487325,354.3,12.58,20.57,4.2975,1953.620602,1.405481377,5.7202,401.1914286,1.9105,2152.380201,2212.181393,2264.213971,2211.950287,2161.789094,-2.2805808
01-05-93,7.8275318,377.45,12.58,20.01,4.7125,1799.351698,1.431434297,5.7392,404.9805,1.965714286,1953.620602,2152.380201,2212.181393,2264.213971,2211.950287,1.7487325
01-06-93,4.4878004,378.45,12.58,18.86,4.575,1857.870708,1.481700993,5.7504,403.3015,2.003636364,1799.351698,1953.620602,2152.380201,2212.181393,2264.213971,7.8275318
01-07-93,-6.9973279,401.75,12.58,17.88,5.3,1927.33982,1.475143827,5.7756,404.7940909,2.048947368,1857.870708,1799.351698,1953.620602,2152.380201,2212.181393,4.4878004
01-08-93,-6.316088,371.55,12.58,18.26,4.8425,1951.071375,1.476232654,5.7906,407.6586364,2.076190476,1927.33982,1857.870708,1799.351698,1953.620602,2152.380201,-6.9973279
01-09-93,-4.1491873,355.5,12.58,18.76,4.03,1858.249998,1.534448366,5.8015,408.1922727,2.095454545,1951.071375,1927.33982,1857.870708,1799.351698,1953.620602,-6.316088
01-10-93,-7.6972377,369.6,12.58,16.91,4.4025,1646.999929,1.512859304,5.8013,412.5885,2.1415,1858.249998,1951.071375,1927.33982,1857.870708,1799.351698,-4.1491873
01-11-93,-13.27812,370.9,12.58,15.54,4.4675,1632.568105,1.504438092,5.8086,412.502381,2.169047619,1646.999929,1858.249998,1951.071375,1927.33982,1857.870708,-7.6972377
01-12-93,-18.455783,391.75,12.58,14.19,5.115,1723.625074,1.48456057,5.821,425.7342857,2.163181818,1632.568105,1646.999929,1858.249998,1951.071375,1927.33982,-13.27812
01-01-94,-18.941676,377.9,11.45,15.28,5.0575,1807.071367,1.436575205,8.7219,430.4452381,2.175238095,1723.625074,1632.568105,1646.999929,1858.249998,1951.071375,-18.455783
01-02-94,-25.020336,381.55,11.45,14.49,5.2425,1865.075015,1.396453009,8.7249,428.6915,2.177,1807.071367,1723.625074,1632.568105,1646.999929,1858.249998,-18.941676
01-03-94,-25.648872,389.2,11.45,14.8,5.735,1913.173919,1.406667604,8.7241,430.4517391,2.173181818,1865.075015,1807.071367,1723.625074,1632.568105,1646.999929,-25.020336
01-04-94,-13.425655,376.45,11.45,16.98,5.28,1881.368467,1.397428731,8.7251,424.4715,2.1815,1913.173919,1865.075015,1807.071367,1723.625074,1632.568105,-25.648872
01-05-94,-0.52666792,387.6,11.45,18.03,5.495,2144.50007,1.38064338,8.6859,424.6981818,2.188636364,1881.368467,1913.173919,1865.075015,1807.071367,1723.625074,-13.425655
01-06-94,-9.85884,388.25,11.45,19.37,5.25,2363.091023,1.364442625,8.6836,420.679,2.19047619,2144.50007,1881.368467,1913.173919,1865.075015,1807.071367,-0.52666792
01-07-94,-5.8807136,384,11.45,20.31,5.2925,2447.238034,1.362212233,8.6605,420.4942857,2.2,2363.091023,2144.50007,1881.368467,1913.173919,1865.075015,-9.85884
01-08-94,-0.63739145,385.75,11.45,17.56,5.3575,2409.749974,1.351168761,8.6072,419.43,2.233181818,2447.238034,2363.091023,2144.50007,1881.368467,1913.173919,-5.8807136
01-09-94,3.0380066,394.85,11.45,18.39,5.62,2504.841031,1.347708895,8.5581,414.8690476,2.259090909,2409.749974,2447.238034,2363.091023,2144.50007,1881.368467,-0.63739145
01-10-94,19.374975,383.85,11.45,18.18,5.345,2546.023754,1.355197181,8.5492,412.214,2.237619048,2504.841031,2409.749974,2447.238034,2363.091023,2144.50007,3.0380066
01-11-94,22.215631,383.1,11.45,18.06,5.075,2803.545411,1.324678765,8.537,413.4509524,2.196190476,2546.023754,2504.841031,2409.749974,2447.238034,2363.091023,19.374975
01-12-94,28.979596,383.25,11.45,17.77,4.85,2980.699996,1.292156609,8.5033,402.23,2.144761905,2803.545411,2546.023754,2504.841031,2409.749974,2447.238034,22.215631
01-01-95,30.075528,374.9,12.27,18.35,4.6975,3003.261895,1.307702367,8.4608,405.7781818,2.194090909,2980.699996,2803.545411,2546.023754,2504.841031,2409.749974,28.979596
01-02-95,28.627483,376.4,12.27,18.58,4.49,2870.450158,1.342822613,8.4553,412.1395,2.2165,3003.261895,2980.699996,2803.545411,2546.023754,2504.841031,30.075528
01-03-95,38.444206,392,12.27,19.18,5.16,2919.673978,1.361470388,8.4483,410.4573913,2.25826087,2870.450158,3003.261895,2980.699996,2803.545411,2546.023754,28.627483
01-04-95,40.997406,389.75,12.27,20.38,5.8275,2894.888823,1.359434475,8.4421,394.3284211,2.262777778,2919.673978,2870.450158,3003.261895,2980.699996,2803.545411,38.444206
01-05-95,40.565638,384.3,12.27,18.8,5.295,2771.571256,1.375137514,8.337,377.1713636,2.253636364,2894.888823,2919.673978,2870.450158,3003.261895,2980.699996,40.997406
01-06-95,29.09934,387.05,12.27,17.4,5.3275,2987.681943,1.389660923,8.3206,373.588,2.246666667,2771.571256,2894.888823,2919.673978,2870.450158,3003.261895,40.565638
01-07-95,27.322323,383.35,12.27,17.56,5.0975,3076.450058,1.373815084,8.3207,378.0680952,2.235,2987.681943,2771.571256,2894.888823,2919.673978,2870.450158,29.09934
01-08-95,33.156162,382.35,12.27,17.89,5.3225,3040.136196,1.348799568,8.3253,387.2740909,2.243636364,3076.450058,2987.681943,2771.571256,2894.888823,2919.673978,27.322323
01-09-95,29.335412,384,12.27,17.54,5.5275,2910.425043,1.326787847,8.3374,394.5627778,2.25047619,3040.136196,3076.450058,2987.681943,2771.571256,2894.888823,33.156162
01-10-95,13.425659,382.65,12.27,17.67,5.36,2810.068174,1.321003963,8.3353,406.6171429,2.261090909,2910.425043,3040.136196,3076.450058,2987.681943,2771.571256,29.335412
01-11-95,9.7805549,387.8,12.27,18.24,5.18,2981.619037,1.341741581,8.3334,412.3095238,2.318380952,2810.068174,2910.425043,3040.136196,3076.450058,2987.681943,13.425659
01-12-95,7.8618968,387,12.27,19.56,5.1425,2918.210645,1.350438893,8.335,408.9842105,2.329263158,2981.619037,2810.068174,2910.425043,3040.136196,3076.450058,9.7805549
01-01-96,2.838852,405.55,12.97,17.75,5.52,2604.999929,1.348254011,8.3384,408.5318182,2.354272727,2918.210645,2981.619037,2810.068174,2910.425043,3040.136196,7.8618968
01-02-96,-4.7697315,400.65,12.97,19.59,5.5225,2544.666723,1.323451562,8.3338,410.9657143,2.358904762,2604.999929,2918.210645,2981.619037,2810.068174,2910.425043,2.838852
01-03-96,-8.5454472,396.35,12.97,21.48,5.5175,2563.349949,1.296344309,8.3495,411.5466667,2.359809524,2544.666723,2604.999929,2918.210645,2981.619037,2810.068174,-4.7697315
01-04-96,-3.7627075,391.3,12.97,21.16,5.2775,2594.174968,1.272750414,8.3515,408.4247619,2.36845,2563.349949,2544.666723,2604.999929,2918.210645,2981.619037,-8.5454472
01-05-96,-6.5772995,390.55,12.97,19.74,5.335,2658.761931,1.254705144,8.3479,406.2304762,2.413954545,2594.174968,2563.349949,2544.666723,2604.999929,2918.210645,-3.7627075
01-06-96,-17.257793,382,12.97,20.93,5.025,2177.599983,1.263902932,8.3424,409.8468421,2.44475,2658.761931,2594.174968,2563.349949,2544.666723,2604.999929,-6.5772995
01-07-96,-30.188923,385.3,12.97,20.48,5.1125,1983.9348,1.26630366,8.3409,410.7230435,2.449181818,2177.599983,2658.761931,2594.174968,2563.349949,2544.666723,-17.257793
01-08-96,-33.055201,386.45,12.97,22.26,5.195,2017.857206,1.277139208,8.3379,411.1004762,2.470285714,1983.9348,2177.599983,2658.761931,2594.174968,2563.349949,-30.188923
01-09-96,-38.501959,379,12.97,24.18,4.88,1935.071431,1.26135217,8.3341,411.8444444,2.495761905,2017.857206,1983.9348,2177.599983,2658.761931,2594.174968,-33.055201
01-10-96,-29.210752,379.5,12.97,23.21,4.825,1960.195675,1.262945188,8.3299,415.5526087,2.56,1935.071431,2017.857206,1983.9348,2177.599983,2658.761931,-38.501959
01-11-96,-4.7415333,371.3,12.97,23.75,4.7425,2215.428646,1.25502008,8.3294,420.03,2.5886,1960.195675,1935.071431,2017.857206,1983.9348,2177.599983,-29.210752
01-12-96,-2.3050712,369.25,12.97,25.93,4.7975,2264.595278,1.255335174,8.329,422.41,2.58752381,2215.428646,1960.195675,1935.071431,2017.857206,1983.9348,-4.7415333
01-01-97,-3.9577733,345.5,13.04,24.15,4.9575,2427.272794,1.28600823,8.326,423.7931818,2.629863636,2264.595278,2215.428646,1960.195675,1935.071431,2017.857206,-2.3050712
01-02-97,-5.6371098,358.6,13.04,20.3,5.2525,2406.631562,1.302592158,8.3227,416.1915,2.64245,2427.272794,2264.595278,2215.428646,1960.195675,1935.071431,-3.9577733
01-03-97,-3.1961792,348.15,13.04,20.42,5.13,2420.184209,1.26984127,8.3258,414.053,2.637157895,2406.631562,2427.272794,2264.595278,2215.428646,1960.195675,-5.6371098
01-04-97,-9.4795871,340.15,13.04,20.17,4.6625,2389.318149,1.284191601,8.3257,417.58,2.665227273,2420.184209,2406.631562,2427.272794,2264.595278,2215.428646,-3.1961792
01-05-97,-16.91504,345.6,13.04,20.89,4.8575,2513.299935,1.290156109,8.3229,418.6089474,2.667285714,2389.318149,2420.184209,2406.631562,2427.272794,2264.595278,-9.4795871
01-06-97,-17.407657,334.55,13.04,19.84,4.715,2611.2857,1.325908247,8.3224,417.4152381,2.658809524,2513.299935,2389.318149,2420.184209,2406.631562,2427.272794,-16.91504
01-07-97,-12.238048,326.35,13.04,20.13,4.3825,2449.195704,1.347708895,8.3162,416.6082609,2.65452381,2611.2857,2513.299935,2389.318149,2420.184209,2406.631562,-17.407657
01-08-97,-15.815211,325.35,13.04,19.62,4.725,2250.100043,1.350621286,8.3187,414.8525,2.65647619,2449.195704,2611.2857,2513.299935,2389.318149,2420.184209,-12.238048
01-09-97,-15.667043,332.1,13.04,21.16,5.1675,2104.309555,1.382934587,8.3171,414.8989474,2.647136364,2250.100043,2449.195704,2611.2857,2513.299935,2389.318149,-15.815211
01-10-97,-13.627574,311.4,13.04,21.09,4.815,2050.695568,1.389467834,8.3135,414.4130435,2.665727273,2104.309555,2250.100043,2449.195704,2611.2857,2513.299935,-15.667043
01-11-97,-20.383127,296.8,13.04,19.16,5.2975,1918.499945,1.438228103,8.3109,424.9575,2.7232,2050.695568,2104.309555,2250.100043,2449.195704,2611.2857,-13.627574
01-12-97,-20.441719,290.2,13.04,17.66,5.995,1761.452391,1.510802236,8.3099,438.2895,2.72,1918.499945,2050.695568,2104.309555,2250.100043,2449.195704,-20.383127
01-01-98,-27.010727,304.85,13.41,17.22,6.0475,1687.60001,1.522997259,8.3094,453.3890476,2.746714286,1761.452391,1918.499945,2050.695568,2104.309555,2250.100043,-20.441719
01-02-98,-42.853623,297.4,13.41,15.45,6.37,1663.999986,1.482799526,8.3072,448.531,2.80145,1687.60001,1761.452391,1918.499945,2050.695568,2104.309555,-27.010727
